time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1656470950.04200506,0.00123992,0.00000056,-nan,623.00000000,0.00162876,0.000000,0.000000
1656470950.07517791,0.00124292,0.00000066,-nan,623.00000000,0.00176873,0.000000,0.000000
1656470950.10835004,0.00124097,0.00000038,-nan,623.00000000,0.00089735,0.000000,0.000000
1656470950.14152312,0.00124108,0.00000055,-nan,623.00000000,0.00125934,0.000000,0.000000
1656470950.17469501,0.00124176,0.00000074,-nan,623.00000000,0.00136324,0.000000,0.000000
1656470950.20786810,0.00124431,0.00000066,-nan,623.00000000,0.00170052,0.000000,0.000000
1656470950.24103999,0.00128447,0.00000165,-nan,623.00000000,0.00851391,0.000000,0.000000
1656470950.27421308,0.00130975,0.00000099,-nan,623.00000000,0.00588481,0.000000,0.000000
1656470950.30738497,0.00135338,0.00000097,-nan,623.00000000,0.00929538,0.000000,0.000000
1656470950.34055805,0.00135445,0.00000123,-nan,623.00000000,0.00154996,0.000000,0.000000
1656470950.37372994,0.00141899,0.00000135,-nan,623.00000000,0.01329312,0.000000,0.000000
1656470950.40690303,0.00142245,0.00000096,-nan,623.00000000,0.00206385,0.000000,0.000000
1656470950.44007492,0.00142561,0.00000083,-nan,623.00000000,0.00201357,0.000000,0.000000
1656470950.47324800,0.00142726,0.00000069,-nan,623.00000000,0.00173469,0.000000,0.000000
1656470950.50642109,0.00142586,0.00000059,-nan,623.00000000,0.00116227,0.000000,0.000000
1656470950.53959298,0.00143030,0.00000089,-nan,623.00000000,0.00226928,0.000000,0.000000
1656470950.57276607,0.00143010,0.00000065,-nan,623.00000000,0.00139317,0.000000,0.000000
1656470950.60593796,0.00143269,0.00000065,-nan,623.00000000,0.00192727,0.000000,0.000000
1656470950.63911104,0.00143456,0.00000110,-nan,623.00000000,0.00179318,0.000000,0.000000
1656470950.67228293,0.00143496,0.00000066,-nan,623.00000000,0.00151173,0.000000,0.000000
1656470950.70545602,0.00151038,0.00000094,-nan,623.00000000,0.01614235,0.000000,0.000000
1656470950.73862791,0.00151260,0.00000067,-nan,623.00000000,0.00194579,0.000000,0.000000
1656470950.77180099,0.00151960,0.00000083,-nan,623.00000000,0.00289238,0.000000,0.000000
1656470950.80497313,0.00152115,0.00000063,-nan,623.00000000,0.00182614,0.000000,0.000000
1656470950.83814597,0.00151899,0.00000063,-nan,623.00000000,0.00109033,0.000000,0.000000
1656470950.87131810,0.00151995,0.00000054,-nan,623.00000000,0.00171063,0.000000,0.000000
1656470950.90449095,0.00152532,0.00000053,-nan,623.00000000,0.00260024,0.000000,0.000000
1656470950.93766308,0.00152688,0.00000061,-nan,623.00000000,0.00184093,0.000000,0.000000
1656470950.97083592,0.00152952,0.00000069,-nan,623.00000000,0.00206240,0.000000,0.000000
1656470951.00400805,0.00153155,0.00000088,-nan,623.00000000,0.00194257,0.000000,0.000000
1656470951.03718114,0.00153316,0.00000072,-nan,623.00000000,0.00186360,0.000000,0.000000
1656470951.07035303,0.00153639,0.00000069,-nan,623.00000000,0.00219804,0.000000,0.000000
1656470951.10352612,0.00153874,0.00000082,-nan,623.00000000,0.00202263,0.000000,0.000000
1656470951.13669896,0.00154153,0.00000081,-nan,623.00000000,0.00211892,0.000000,0.000000
1656470951.16987109,0.00154305,0.00000077,-nan,623.00000000,0.00185986,0.000000,0.000000
1656470951.20304394,0.00154522,0.00000092,-nan,623.00000000,0.00199793,0.000000,0.000000
1656470951.23621607,0.00154683,0.00000110,-nan,623.00000000,0.00188520,0.000000,0.000000
1656470951.26938891,0.00154749,0.00000086,-nan,623.00000000,0.00168693,0.000000,0.000000
1656470951.30256104,0.00155033,0.00000084,-nan,623.00000000,0.00215173,0.000000,0.000000
1656470951.33573413,0.00155186,0.00000082,-nan,623.00000000,0.00187887,0.000000,0.000000
1656470951.36890602,0.00155403,0.00000087,-nan,623.00000000,0.00201813,0.000000,0.000000
1656470951.40207911,0.00157488,0.00000118,-nan,623.00000000,0.00605788,0.000000,0.000000
1656470951.43525100,0.00157587,0.00000068,-nan,623.00000000,0.00178945,0.000000,0.000000
1656470951.46842408,0.00157672,0.00000098,-nan,623.00000000,0.00176092,0.000000,0.000000
1656470951.50159597,0.00157907,0.00000084,-nan,623.00000000,0.00209073,0.000000,0.000000
1656470951.53476906,0.00158250,0.00000078,-nan,623.00000000,0.00233386,0.000000,0.000000
1656470951.56794095,0.00162398,0.00000127,-nan,623.00000000,0.01075037,0.000000,0.000000
1656470951.60111403,0.00166347,0.00000107,-nan,623.00000000,0.01038903,0.000000,0.000000
1656470951.63428593,0.00170094,0.00000112,-nan,623.00000000,0.01001980,0.000000,0.000000
1656470951.66745901,0.00174619,0.00000120,-nan,623.00000000,0.01183677,0.000000,0.000000
1656470951.70063210,0.00174709,0.00000113,-nan,623.00000000,0.00194953,0.000000,0.000000
1656470951.73380399,0.00175078,0.00000087,-nan,623.00000000,0.00258153,0.000000,0.000000
1656470951.76697707,0.00175479,0.00000082,-nan,623.00000000,0.00266080,0.000000,0.000000
1656470951.80014896,0.00180223,0.00000258,-nan,623.00000000,0.01257020,0.000000,0.000000
1656470951.83332205,0.00184173,0.00000093,-nan,623.00000000,0.01084818,0.000000,0.000000
1656470951.86649394,0.00184777,0.00000110,-nan,623.00000000,0.00323145,0.000000,0.000000
1656470951.89966702,0.00184993,0.00000073,-nan,623.00000000,0.00234673,0.000000,0.000000
1656470951.93283892,0.00188425,0.00000106,-nan,623.00000000,0.00981124,0.000000,0.000000
1656470951.96601200,0.00192068,0.00000122,-nan,623.00000000,0.01037314,0.000000,0.000000
1656470951.99918413,0.00192200,0.00000094,-nan,623.00000000,0.00222873,0.000000,0.000000
1656470952.03235698,0.00193594,0.00000095,-nan,623.00000000,0.00519860,0.000000,0.000000
1656470952.06552911,0.00197315,0.00000257,-nan,623.00000000,0.01071671,0.000000,0.000000
1656470952.09870195,0.00199937,0.00000129,-nan,623.00000000,0.00818809,0.000000,0.000000
1656470952.13187408,0.00200203,0.00000073,-nan,623.00000000,0.00263223,0.000000,0.000000
1656470952.16504693,0.00200727,0.00000119,-nan,623.00000000,0.00325568,0.000000,0.000000
1656470952.19821906,0.00205808,0.00000103,-nan,623.00000000,0.01420122,0.000000,0.000000
